Energy,1ps,10ps,30ps,100ps,280ps
2.34,0.037875198,0.034632118,0.047379443,0.022215069,0.055076445
2.36,0.04138425,0.035355222,0.043064666,0.020523858,-0.004158676
2.38,0.038651249,0.035766096,0.039376448,0.013975751,-0.014789267
2.4,0.040805697,0.034720194,0.051466443,0.041114036,0.01021213
2.42,0.043190005,0.041622045,0.050661013,0.037103964,0.025128715
2.44,0.045625863,0.045468101,0.052063931,0.046631295,0.044687514
2.46,0.044570193,0.049002588,0.053926851,0.051445005,0.065031211
2.48,0.048283139,0.057482099,0.058167755,0.070116761,0.071443413
2.5,0.051574738,0.059429898,0.052778045,0.055668812,0.061621049
2.52,0.048744395,0.063394196,0.051869671,0.057516936,0.083971356
2.54,0.048993443,0.055272494,0.051691826,0.068255081,0.088093586
2.56,0.04940622,0.0489471,0.048433513,0.073766901,0.082510571
2.58,0.048749128,0.051040445,0.050397325,0.064153037,0.048866978
2.6,0.043593317,0.051531028,0.047773437,0.055948868,0.043172147
2.62,0.041109748,0.046783735,0.042658702,0.051216333,0.044856408
2.64,0.03906134,0.04455101,0.041695948,0.047541841,0.052448685
2.66,0.038749231,0.041864254,0.037464621,0.043430299,0.050125028
2.68,0.037237293,0.035615706,0.032967895,0.033436209,0.032921076
2.7,0.033397329,0.03138652,0.030053403,0.027759359,0.032354509
2.72,0.029686557,0.02796411,0.023682368,0.028966115,0.028232123
2.74,0.027189301,0.023977352,0.018333118,0.021392842,0.027622358
2.76,0.023921622,0.019379502,0.01616629,0.014466701,0.016743587
2.78,0.01947701,0.013952659,0.012851477,0.011118453,0.013418465
2.8,0.016529371,0.012107799,0.009953469,0.007446907,0.009125158
2.82,0.013527496,0.008887567,0.008880486,0.008551195,0.010507406
2.84,0.011033783,0.007798353,0.006476954,0.005764682,0.003089372
2.86,0.009154938,0.00610767,0.004571694,0.004318539,0.004802485
2.88,0.007449083,0.004576976,0.004077766,0.005201729,0.004198958
2.9,0.006297695,0.003427695,0.002863294,0.0012938,0.002244637
2.92,0.004965859,0.002784455,0.002850356,0.003131079,0.004475255
2.94,0.004108967,0.002002334,0.000849607,0.002480051,0.002244388
2.96,0.00297454,0.001818621,0.002396907,0.002011798,0.001255138
2.98,0.002682001,0.001350057,0.002155278,0.002036695,-0.00153221
